track,album,artist,genre,popularity,explicit,release_date,duration_ms,track_score,duration_min,release_year
FRI(END)S,FRI(END)S,V,k-pop,80,False,2024-03-15,148082,40.0,2.4680333333333335,2024
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,anime,79,False,2024-01-07,168135,39.5,2.80225,2024
offline,att.,Young Miko,trap latino,78,True,2024-04-05,201935,39.0,3.3655833333333334,2024
Move (feat. Camila Cabello & Malachiii),Move (feat. Camila Cabello & Malachiii),Adam Port,afro house,80,False,2024-10-11,180236,40.0,3.0039333333333333,2024
Ansiedad,Ansiedad,Grupo Arriesgado,corrido,80,False,2024-10-18,177333,40.0,2.95555,2024
Ese Vato No Te Queda,Ese Vato No Te Queda,Carín León,banda,81,True,2024-10-24,198607,40.5,3.3101166666666666,2024
PELIGROSA,PELIGROSA,FloyyMenor,reggaeton chileno,82,True,2024-07-12,134930,41.0,2.2488333333333332,2024
Poco A Poco,NEXT,Xavi,corridos tumbados,75,False,2024-10-11,156040,37.5,2.6006666666666667,2024
Starburster,Romance,Fontaines D.C.,post-punk,77,True,2024-08-23,221450,38.5,3.6908333333333334,2024
Cosas Pendientes,Cosas Pendientes,Maluma,reggaeton,81,False,2024-11-21,184462,40.5,3.0743666666666667,2024
TU SI,INCÓMODO,Tito Double P,corrido,78,True,2024-08-22,181921,39.0,3.032016666666667,2024
X-SLIDE,X-SLIDE,2KE,phonk,80,False,2024-05-10,79452,40.0,1.3242,2024
ME GUSTAS CC,Private Suite (Vol. 2),ROA,trap latino,80,True,2024-12-13,173573,40.0,2.8928833333333333,2024
Mejores Jordans,Mejores Jordans,Victor Mendivil,electro corridos,81,False,2024-07-30,234077,40.5,3.901283333333333,2024
BRUCE WAYNE,ÉXODO,Peso Pluma,corrido,77,True,2024-06-20,214080,38.5,3.568,2024
GOET,GOET,Victor Mendivil,electro corridos,80,False,2024-06-14,181250,40.0,3.0208333333333335,2024
IS THIS LOVE,AWE,XG,k-pop,78,False,2024-11-08,155080,39.0,2.5846666666666667,2024
Forever Young,Forever Young,David Guetta,edm,82,False,2024-10-18,156923,41.0,2.6153833333333334,2024
number one girl,rosie,ROSÉ,k-pop,80,False,2024-12-06,216442,40.0,3.6073666666666666,2024
Parte & Choke,Parte & Choke,Jombriel,salsa choke,84,False,2024-11-05,205264,42.0,3.4210666666666665,2024
Una Vida Pasada,cuatro,Camilo,colombian pop,79,False,2024-05-23,218500,39.5,3.6416666666666666,2024
DEGENERE 👑 (feat. benny blanco),LA PANTERA NEGRA (DELUXE),Myke Towers,reggaeton,80,True,2024-10-17,130880,40.0,2.1813333333333333,2024
FUNKED UP - SLOWED,FUNKED UP,xxanteria,phonk,77,False,2024-01-19,115348,38.5,1.9224666666666668,2024
Tengo Claro,Tengo Claro,Banda MS de Sergio Lizárraga,banda,77,False,2024-07-05,191681,38.5,3.1946833333333333,2024
Winter Ahead (with PARK HYO SHIN),Winter Ahead (with PARK HYO SHIN) : Silent Carol Ver.,V,k-pop,80,False,2024-12-03,234895,40.0,3.9149166666666666,2024
DRIP,DRIP,BABYMONSTER,k-pop,82,False,2024-11-01,180845,41.0,3.0140833333333332,2024
CHAPA,CHAPA,Yailin la Mas Viral,dembow,74,True,2024-10-04,120052,37.0,2.0008666666666666,2024
Un Scar,Un Scar,Victor Mendivil,electro corridos,78,True,2024-11-11,299381,39.0,4.989683333333334,2024
Winter Ahead (with PARK HYO SHIN),Winter Ahead (with PARK HYO SHIN) : YUNSEOKCHEOL TRIO Ver.,V,k-pop,80,False,2024-12-20,234895,40.0,3.9149166666666666,2024
TOO COOL TO BE CARELESS,TOO COOL TO BE CARELESS,PAWSA,tech house,80,False,2024-07-05,220046,40.0,3.6674333333333333,2024
Labios de Cereza 2,Capítulo 1: El Regreso Del Dragon,T3R Elemento,corrido,78,True,2024-05-03,226250,39.0,3.7708333333333335,2024
It's Not Right But It's Okay,It's Not Right But It's Okay,Mr. Belt & Wezol,future house,82,False,2024-02-23,152304,41.0,2.5384,2024
ETA - RMX,Private Suite (Vol. 2),ROA,trap latino,76,True,2024-12-13,462561,38.0,7.70935,2024
hypnotic - super slowed,hypnotic,isq,phonk,79,False,2024-05-31,120796,39.5,2.0132666666666665,2024
Silla,Silla,Yailin la Mas Viral,dembow,74,True,2024-12-20,141355,37.0,2.355916666666667,2024
Smart,Smart (Remixes),LE SSERAFIM,k-pop,78,False,2024-03-22,166384,39.0,2.773066666666667,2024
八方來財(Stacks from All Sides),八方來財(Stacks from All Sides),攬佬SKAI ISYOURGOD,chinese hip hop,79,False,2024-08-20,173037,39.5,2.88395,2024
HOLLYWOOD,HOLLYWOOD,Peso Pluma,corrido,78,True,2024-06-19,284864,39.0,4.747733333333334,2024
NEXT!,NEXT!,NCTS,phonk,82,False,2024-06-07,99692,41.0,1.6615333333333333,2024
Aquí Hay Para Llevar,Aquí Hay Para Llevar,La Arrolladora Banda El Limón De Rene Camacho,banda,77,False,2024-05-24,179493,38.5,2.99155,2024
Never Going Home Tonight (feat. Madison Love),Never Going Home Tonight (feat. Madison Love),David Guetta,edm,78,False,2024-09-06,164285,39.0,2.7380833333333334,2024
MIRAME REMIX,MIRAME REMIX,Blessd,reggaeton,77,True,2024-12-11,238666,38.5,3.9777666666666667,2024
Kamikaze (feat. Victor Mendivil),Kamikaze (feat. Victor Mendivil),Natanael Cano,corridos tumbados,78,True,2024-11-14,248362,39.0,4.139366666666667,2024
UP - KARINA Solo,SYNK : PARALLEL LINE - Special Digital Single,aespa,k-pop,78,False,2024-10-09,166640,39.0,2.7773333333333334,2024
SHEESH,BABYMONS7ER,BABYMONSTER,k-pop,80,False,2024-04-01,170356,40.0,2.8392666666666666,2024
"Patadas de Ahogado / LATÍN MAFIA, HUMBE - Rework","Patadas de Ahogado / LATÍN MAFIA, HUMBE (Rework)",HUGEL,latin house,78,False,2024-02-22,186341,39.0,3.1056833333333334,2024
Montagem Lunar Celestia 1.0 (SLOWED),Montagem Lunar Celestia 1.0 (SLOWED),TOKYOPHILE,phonk,80,False,2024-10-14,96254,40.0,1.6042333333333334,2024
Say What,Say What,Rampa,afro house,80,False,2024-10-25,181593,40.0,3.02655,2024
MAZKO,MAZKO,S4nri0,phonk,79,False,2024-10-25,75692,39.5,1.2615333333333334,2024
SPACE! - Super Slowed,SPACE!,NAOMI,phonk,78,False,2024-04-26,109848,39.0,1.8308,2024
El Beneficio De La Duda,El Beneficio De La Duda,Grupo Firme,banda,78,False,2024-05-28,245500,39.0,4.091666666666667,2024
ETA - RMX,ETA (RMX),ROA,trap latino,77,True,2024-12-04,462561,38.5,7.70935,2024
Emociones,Emociones,Hades66,trap latino,77,False,2024-01-18,124374,38.5,2.0729,2024
pussypodium - Slowed,pussypodium (Slowed),akiaura,phonk,75,False,2024-10-06,211459,37.5,3.5243166666666665,2024
TATE QUIETA,Private Suite (Vol. 2),ROA,trap latino,74,True,2024-12-13,238734,37.0,3.9789,2024
Stephanie,Stephanie,Cloonee,tech house,73,False,2024-12-06,188534,36.5,3.1422333333333334,2024
PASSO BEM SOLTO,PASSO BEM SOLTO,ATLXS,phonk,78,False,2024-04-23,103403,39.0,1.7233833333333333,2024
Yamore,Yamore,MoBlack,afro house,82,False,2024-06-07,248000,41.0,4.133333333333334,2024
orióN,orióN,Boza,reggaeton,79,False,2024-05-29,240964,39.5,4.016066666666666,2024
FUNK UNIVERSO,FUNK UNIVERSO,Irokz,phonk,79,False,2024-07-03,127500,39.5,2.125,2024
Marilag,Marilag,Dionela,opm,84,False,2024-11-08,157692,42.0,2.6282,2024
Jump,Jump,Levi,afro house,79,False,2024-03-29,153904,39.5,2.5650666666666666,2024
Jhol,Jhol,Maanu,indian indie,81,False,2024-06-14,265817,40.5,4.430283333333334,2024
Running Wild,Happy,Jin,k-pop,79,False,2024-11-15,151646,39.5,2.527433333333333,2024
El Pariente,El Pariente,Ian Cordova,electro corridos,76,False,2024-03-22,228215,38.0,3.8035833333333335,2024
BACKBONE,BACKBONE,Chase & Status,drum and bass,78,True,2024-08-08,166448,39.0,2.7741333333333333,2024
ACIDO,ACIDO,UdieNnx,phonk,77,False,2024-10-31,75697,38.5,1.2616166666666666,2024
My Love (2024),My Love (2024),Alex Wann,afro house,78,False,2024-08-30,184949,39.0,3.0824833333333332,2024
i miss you,I Miss You,Beéle,latin afrobeats,77,False,2024-10-17,173529,38.5,2.89215,2024
Told You So,Told You So,Martin Garrix,edm,78,False,2024-11-22,187031,39.0,3.117183333333333,2024
Finally,Finally,Swedish House Mafia,edm,75,False,2024-08-29,215583,37.5,3.59305,2024
VAPO NO SETOR,VAPO NO SETOR,DJ ANXVAR,phonk,78,True,2024-08-13,67596,39.0,1.1266,2024
BEIBY - Remix,SEXOLANDIA,Cachirula,reggaeton mexa,82,True,2024-11-14,197830,41.0,3.2971666666666666,2024
Be Mine,MUSE,Jimin,k-pop,76,False,2024-07-19,207347,38.0,3.455783333333333,2024
Mockingbird,Mockingbird,Tiësto,edm,78,False,2024-05-03,154838,39.0,2.580633333333333,2024
Déjame Pensar,MJ,Cris Mj,reggaeton chileno,74,True,2024-09-12,211286,37.0,3.5214333333333334,2024
MEOW,MEOW,MEOVV,k-pop,74,False,2024-09-06,172073,37.0,2.8678833333333333,2024
Sauti,Sauti,Francis Mercier,afro house,77,False,2024-07-19,208770,38.5,3.4795,2024
Dame La Verde,Dame La Verde,Luar La L,trap latino,74,True,2024-09-19,215920,37.0,3.5986666666666665,2024
Cuando No Era Cantante,No Hay Loco Que No Corone,El Bogueto,reggaeton mexa,83,True,2024-09-26,211084,41.5,3.5180666666666665,2024
Rebirth (Intro),MUSE,Jimin,k-pop,75,False,2024-07-19,144624,37.5,2.4104,2024
PIKY,PIKY,Jezzy,dembow,67,True,2024-05-31,118998,33.5,1.9833,2024
Si Las Gatas Se Amotinan,Si Las Gatas Se Amotinan,Peipper,rkt,80,False,2024-11-14,164000,40.0,2.7333333333333334,2024
Slow Dance (feat. Sofia Carson),MUSE,Jimin,k-pop,74,False,2024-07-19,188399,37.0,3.1399833333333333,2024
Supersonic,Supersonic,fromis_9,k-pop,70,False,2024-08-12,174146,35.0,2.902433333333333,2024
Move,Move,Adam Port,afro house,78,False,2024-06-07,177598,39.0,2.959966666666667,2024
Ela Joga na Hora,Ela Joga na Hora,Mc Pogba,brazilian phonk,77,True,2024-03-28,132922,38.5,2.2153666666666667,2024
Te Regalo,Te Regalo,Rels B,urbano latino,79,False,2024-12-04,147451,39.5,2.457516666666667,2024
REAL GANGSTA LOVE,EL ÚLTIMO BAILE,Trueno,argentine trap,81,True,2024-05-23,145342,40.5,2.4223666666666666,2024
Dale 2,Dale 2,Yailin la Mas Viral,dembow,67,True,2024-09-27,148850,33.5,2.4808333333333334,2024
YOGURCITO,BlessDeluxury,Blessd,reggaeton,78,True,2024-05-16,183535,39.0,3.0589166666666667,2024
Que linda,Que Linda,Lomiiel,dembow,66,False,2024-07-18,137760,33.0,2.296,2024
Multo,Multo,Cup of Joe,opm,85,False,2024-09-14,237692,42.5,3.961533333333333,2024
La Verdolaga,La Verdolaga,HUGEL,latin house,75,False,2024-06-28,150987,37.5,2.51645,2024
"Raanjhan (From ""Do Patti"")","Raanjhan (From ""Do Patti"")",Sachet-Parampara,bhajan,87,False,2024-10-04,240066,43.5,4.0011,2024
Venus,Venus,Faceless,afrobeats,78,False,2024-11-28,139199,39.0,2.3199833333333335,2024
MMS,Lungu Boy,Asake,afrobeats,75,False,2024-08-08,219628,37.5,3.6604666666666668,2024
Running Wild,Happy - :') (Remixes),Jin,k-pop,78,False,2024-11-19,151646,39.0,2.527433333333333,2024
POLOS OPUESTOS REMIX - BLESSD VERSION,POLOS OPUESTOS REMIX (BLESSD VERSION),Blessd,reggaeton,76,True,2024-10-09,216000,38.0,3.6,2024
